Native Dart,,,,,,,Javascript,,,,,
Manual,,DSON,,Interop,,,Manual,,DSON,,Interop,
Serialise,Deserialise,Serialise,Deserialise,Serialise,Deserialise,,Serialise,Deserialise,Serialise,Deserialise,Serialise,Deserialise
51065,37597,226984,131533,230052,24931,,44325,19810,2550460,1026625,8670,4580
7431,5052,121123,64609,91868,21626,,14585,6365,2483385,957735,5615,4900
6548,3881,103000,58907,88196,21205,,11900,7605,2432780,930550,6365,5855
5806,10424,114630,58575,95645,93800,,11205,6770,2431330,959430,5225,4830
5579,3496,100029,58845,75740,16918,,10665,6825,2405535,923090,5775,4640
5213,3303,98991,57165,77586,17292,,10750,8610,2360525,909075,5375,5455
5418,3443,98768,57397,79162,17536,,10305,6230,2354970,931200,5630,8445
6005,8748,103130,57227,79162,20156,,10305,6390,2369960,925235,3775,3425
4901,3032,98532,57354,78475,18428,,10310,6220,2357230,896520,3465,3120
4698,2998,99020,57433,81931,18833,,10265,6225,2382115,926930,3580,4100
4786,3080,98884,57148,103525,21496,,10190,6455,2401260,958640,3820,3585
4832,3284,98548,57056,85342,19479,,10160,6170,2438785,905855,3745,3925
4898,2987,98924,56819,82379,19992,,10106,6365,2376155,934360,3580,3295
4702,2999,98500,69426,86522,20469,,10145,6225,2456015,984545,3490,3170
4832,3128,97880,56476,84407,24479,,10270,6195,2464670,934720,4090,3165
4769,2998,97908,56620,84760,20910,,10205,6405,2383545,933060,3680,3110
5000,2995,97705,56394,90529,21263,,10180,6185,2369945,926665,4380,3520
4878,3171,97641,56486,92472,21763,,10130,6465,2366405,952035,3465,3130
4943,2985,97156,56515,92389,21946,,10095,6450,2425030,975730,3360,4255
4725,2990,97998,56704,89054,22530,,10275,6310,2456460,951285,3425,3205
5059,3192,105222,57237,98479,22785,,10350,6530,2530140,931275,3300,3555
4766,3102,101110,58152,95526,33202,,10380,6390,2413695,947190,3985,3130
4786,2996,102325,58820,90914,23623,,10270,6185,2433370,944360,3425,3200
4729,3160,102100,57369,91308,30722,,10180,6360,2451910,931055,3750,3425
5133,2984,100948,57201,93629,24440,,11415,10080,2459125,955485,3395,3215
4726,3023,101295,56922,104818,25401,,12895,7680,2430855,956650,3330,3560
4841,3004,117268,56894,95594,25244,,10395,6240,2409755,940490,3755,3360
4950,3102,100115,56968,102101,25371,,10360,6250,2448880,975315,3320,3430
4871,3220,99825,57593,97149,32367,,10680,6660,2400865,910465,3385,3345
4712,3067,99631,56982,97162,25995,,10195,6300,2356080,912760,3595,3155
5230,2998,99637,57100,97725,33420,,10175,6860,2343435,920040,3895,3120
4654,3161,98940,57146,99513,26935,,10160,6695,2424750,916710,3520,3245
4955,3271,104433,58168,108043,27148,,10195,6280,2342825,914980,3350,3680
4675,3035,103944,58005,104207,28122,,10230,6405,2363280,930080,3545,3140
4788,3197,103664,58151,110445,28615,,10295,6450,2364150,933145,3430,3130
4707,3059,103934,57924,103542,36277,,10380,6285,2352360,887260,3995,3225
4774,3407,104748,57889,105576,28679,,10165,6495,2431165,953195,3635,3145
5324,3005,104462,57783,105409,37400,,10265,6265,2428930,950995,3800,3135
4851,3207,104176,61460,106681,29582,,10230,6645,2367390,902990,3549,3180
4684,2999,108606,57774,115638,29910,,10180,6170,2467000,947855,3385,3899
4747,3168,104840,56870,122605,30185,,10185,6185,2510265,955515,3365,3145
4935,3060,101151,56946,118906,30648,,10170,6405,2414975,933940,3670,3175
4784,3353,99545,56797,110366,40487,,11310,6180,2440625,947940,3845,3390
4747,3048,99455,57097,123261,31230,,10860,6485,2426445,956460,3430,3210
4760,3233,99386,58265,112106,74030,,10940,6390,2427215,941180,4055,3215
4872,3121,101885,56701,112914,32064,,10430,6200,2482470,951750,3325,3135
4721,3185,98912,56952,124434,37374,,10790,6680,2379155,952270,3610,3590
4661,3009,104954,56845,116023,32827,,10605,6305,2459955,973995,3315,3255
4756,3345,98637,56706,126509,33809,,10715,6240,2423040,948685,3470,3120
4651,3216,98595,56826,116801,43698,,10605,6370,2469380,947965,3735,3125
,,,,,,,,,,,,
5917.56,4130.36,104381.88,59284.64,101531.6,28932.84,,11247.52,6818.8,2418400.9,940305.6,3953.48,3646.88
5.91756,4.13036,104.38188,59.28464,101.5316,28.93284,,11.24752,6.8188,2418.4009,940.3056,3.95348,3.64688
,,,,,,,,,,,,
4869,3244.6590909091,101234.931818182,57604.5,100397.568181818,28428.8636363636,,10430.5909090909,6476.25,2414909.77272727,938835.795454545,3651.1136363636,3456.4545454546
4.869,3.2446590909,101.2349318182,57.6045,100.3975681818,28.4288636364,,10.4305909091,6.47625,2414.9097727273,938.8357954545,3.6511136364,3.4564545455
